symbol,ex_dividend_date,dividend_receive_date,dividend_amount
0050,2020-07-21,2020-08-24,0.7
006203,2020-07-21,2020-08-19,0.28
006208,2020-07-21,2020-08-27,0.481
00692,2020-07-21,2020-08-27,0.231
00717,2020-07-21,2020-08-18,0.167
00702,2020-07-20,2020-08-18,0.21
00714,2020-07-16,2020-08-11,0.15
00710B,2020-06-17,2020-07-17,0.26
00711B,2020-06-17,2020-07-17,0.25
00712,2020-06-17,2020-07-17,0.338
00771,2020-05-22,2020-06-22,0.21
00775B,2020-05-21,2020-06-19,0.34
00774B,2020-04-24,2020-06-08,0.6
00774C,2020-04-24,2020-06-08,0.6
0052,2020-04-22,2020-05-29,1.927
00717,2020-04-22,2020-05-29,0.189
00714,2020-04-20,2020-05-15,0.12
00710B,2020-03-19,2020-04-20,0.261
00711B,2020-03-19,2020-04-20,0.25
00712,2020-03-19,2020-04-20,0.278
00775B,2020-02-24,2020-03-31,0.45
00771,2020-02-21,2020-03-24,0.18
0050,2020-01-31,2020-03-06,2.9
006203,2020-01-31,2020-03-03,1.4
00701,2020-01-30,2020-02-27,1.66
00702,2020-01-30,2020-02-27,0.23
00717,2020-01-30,2020-02-27,0.2
00728,2020-01-30,2020-02-27,0.737
00735,2020-01-30,2020-02-27,0.38
00736,2020-01-30,2020-02-27,0.25
00770,2020-01-30,2020-02-27,0.76
00714,2020-01-16,2020-02-24,0.21
00714,2020-01-16,2020-02-24,
00742,2019-12-30,2020-02-14,1.0
00710B,2019-12-24,2020-01-31,0.266
00711B,2019-12-24,2020-01-31,0.24
00712,2019-12-24,2020-01-31,0.264
00690,2019-11-28,2019-12-27,1.12
00731,2019-11-26,2019-12-23,2.266
0051,2019-11-22,2019-12-23,1.2
0053,2019-11-22,2019-12-23,1.5
0054,2019-11-22,2019-12-23,0.75
0055,2019-11-22,2019-12-23,0.7
00713,2019-11-22,2019-12-23,1.6
00771,2019-11-22,2019-12-23,0.25
00775B,2019-11-22,2019-12-31,0.13
00776,2019-11-22,2019-12-30,0.39
006208,2019-11-20,2019-12-30,1.138
00692,2019-11-20,2019-12-30,0.53
006204,2019-10-29,2019-11-27,1.52
0056,2019-10-23,2019-11-26,1.8
00660,2019-10-23,2019-11-21,0.75
00774B,2019-10-23,2019-12-04,0.34
00774C,2019-10-23,2019-12-04,0.34
00717,2019-10-22,2019-11-28,0.215
00730,2019-10-22,2019-11-28,0.746
00733,2019-10-22,2019-11-28,0.56
00714,2019-10-17,2019-11-13,0.1
00710B,2019-09-25,2019-10-25,0.275
00711B,2019-09-25,2019-10-25,0.255
00712,2019-09-25,2019-10-25,0.104
00775B,2019-08-22,2019-09-27,0.135
0050,2019-07-19,2019-08-22,0.7
006203,2019-07-19,2019-08-19,0.4
006208,2019-07-18,2019-08-27,0.661
00692,2019-07-18,2019-08-27,0.256
00717,2019-07-18,2019-08-27,0.225
00702,2019-07-17,2019-08-16,0.45
00735,2019-07-17,2019-08-16,0.19
00736,2019-07-17,2019-08-16,0.17
00714,2019-07-16,2019-08-12,0.135
00710B,2019-06-25,2019-07-23,0.264
00711B,2019-06-25,2019-07-23,0.176
00712,2019-06-25,2019-07-23,0.438
00775B,2019-05-23,2019-06-28,0.25
0052,2019-05-02,2019-06-05,1.047
00717,2019-05-02,2019-06-05,0.255
00733,2019-05-02,2019-06-05,0.4
00714,2019-04-17,2019-05-16,0.15
00710B,2019-03-21,2019-04-22,0.253
00711B,2019-03-21,2019-04-22,0.181
00712,2019-03-21,2019-04-22,0.135
00717,2019-01-24,2019-03-12,0.204
00728,2019-01-24,2019-03-08,1.123
0050,2019-01-22,2019-03-08,2.3
006203,2019-01-22,2019-03-08,0.85
00701,2019-01-17,2019-02-23,0.47
00702,2019-01-17,2019-02-23,0.28
00735,2019-01-17,2019-02-23,0.49
00736,2019-01-17,2019-02-23,0.21
00714,2019-01-16,2019-02-19,0.17
00710B,2018-12-27,2019-01-24,0.224
00711B,2018-12-27,2019-01-24,0.079
00712,2018-12-27,2019-01-24,0.357
00742,2018-12-27,2019-02-14,0.95
00731,2018-12-21,2019-01-19,2.492
006208,2018-11-29,2018-12-28,2.0
00692,2018-11-29,2018-12-28,0.743
00690,2018-11-28,2018-12-26,0.66
0051,2018-11-22,2018-12-25,1.0
0053,2018-11-22,2018-12-25,1.1
0054,2018-11-22,2018-12-25,0.75
0055,2018-11-22,2018-12-25,0.65
00713,2018-11-22,2018-12-25,1.55
006204,2018-10-30,2018-11-20,1.94
00717,2018-10-30,2018-12-03,0.216
00730,2018-10-30,2018-12-03,0.979
0056,2018-10-23,2018-11-27,1.45
00714,2018-10-16,2018-11-12,0.2
00710B,2018-09-26,2018-10-25,0.382
00711B,2018-09-26,2018-10-25,0.293
00712,2018-09-26,2018-10-25,0.862
006208,2018-07-26,2018-08-31,0.65
00692,2018-07-26,2018-08-31,0.083
00701,2018-07-26,2018-08-17,0.17
00702,2018-07-26,2018-08-17,0.3
00717,2018-07-26,2018-08-31,0.581
0050,2018-07-23,2018-08-27,0.7
006203,2018-07-23,2018-08-27,0.35
00714,2018-07-17,2018-08-13,0.209
00710B,2018-06-21,2018-07-19,0.236
00711B,2018-06-21,2018-07-19,0.178
00712,2018-06-21,2018-07-19,0.555
0052,2018-05-03,2018-06-06,1.72
00714,2018-04-19,2018-05-17,0.23
00710B,2018-03-22,2018-04-24,0.081
00711B,2018-03-22,2018-04-24,0.193
00712,2018-03-22,2018-04-24,0.009
0050,2018-01-29,2018-03-13,2.2
006203,2018-01-29,2018-03-13,0.8
00702,2018-01-25,2018-02-23,0.25
00710B,2018-01-24,2018-03-01,0.042
00711B,2018-01-24,2018-03-01,0.202
00712,2018-01-24,2018-03-01,0.09
008201,2017-12-28,2018-01-26,0.961
006208,2017-11-30,2017-12-29,1.65
00692,2017-11-30,2017-12-29,1.12
00690,2017-11-28,2017-12-29,0.81
0051,2017-11-23,2017-12-27,0.85
0053,2017-11-23,2017-12-27,1.15
0054,2017-11-23,2017-12-27,0.75
0055,2017-11-23,2017-12-27,0.5
006204,2017-10-31,2017-11-21,1.7
0056,2017-10-30,2017-12-04,0.95
00710B,2017-10-26,2017-11-22,0.103
00711B,2017-10-26,2017-11-22,0.084
00712,2017-10-26,2017-11-22,0.15
0050,2017-07-31,2017-08-31,0.7
006203,2017-07-31,2017-08-31,0.3
006208,2017-07-27,2017-09-01,1.0
00692,2017-07-27,2017-09-01,0.021
0052,2017-05-03,2017-06-08,1.41
0050,2017-02-08,2017-03-14,1.7
006203,2017-02-08,2017-03-14,0.7
0051,2016-11-23,2016-12-27,0.7
0053,2016-11-23,2016-12-27,1.0
0054,2016-11-23,2016-12-27,0.7
0055,2016-11-23,2016-12-27,0.45
006204,2016-10-27,2016-11-21,1.58
006204,2016-10-27,2016-11-21,1.58
0056,2016-10-26,2016-11-28,1.3
0057,2016-08-02,2016-09-01,1.685
006208,2016-08-02,2016-09-01,0.043
0050,2016-07-28,2016-08-30,0.85
006203,2016-07-28,2016-08-30,0.3
0052,2016-05-04,2016-06-06,2.439
0080,2015-12-10,2016-01-04,5.3833
0081,2015-12-10,2016-01-04,12.423
